#session	topic
1	9
2	19
3	10
4	25
5	52
6	8
7	24
8	22
9	53
10	60
11	44
12	26
13	4
14	47
15	59
16	58
17	53
18	30
19	13
20	34
21	33
22	9
23	30
24	54
25	16
26	8
27	35
28	42
29	18
30	28
31	21
32	25
33	15
34	51
35	59
36	39
37	47
38	5
39	8
40	24
41	33
42	17
43	42
44	36
45	10
46	52
47	58
48	28
49	15
50	56
51	58
52	21
53	7
54	30
55	13
56	24
57	46
58	2
59	17
60	40
61	36
62	27
63	46
64	42
65	29
66	22
67	57
68	31
69	57
70	55
71	48
72	25
73	48
74	14
75	44
76	37
77	32
78	19
79	40
80	20
81	34
82	28
83	30
84	35
85	3
86	22
87	53
88	33
89	56
90	26
91	21
92	39
93	44
94	23
95	5
96	5
97	55
98	6
99	15
100	33
